year,celebrity_death,scientific_discovery
2020,Kobe Bryant,First mRNA vaccine approved for widespread COVID-19 use
2021,Betty White,New species of bioluminescent deep-sea jellyfish discovered near Mariana Trench
2022,Queen Elizabeth II,CRISPR gene therapy achieves first complete cure of sickle cell disease
2023,Matthew Perry,Room-temperature superconductor synthesized at University of Seoul
2024,Quincy Jones,Functional 1000-qubit quantum computer solves previously unsolvable encryption problems
2025,Helena Cross,First lab-grown human kidney successfully transplanted into a patient
2026,Marcus Johnson,New species of venomous tree frog discovered in Amazon basin named Dendrobates electricus
2027,Dame Evelyn Hartley,Alzheimer's disease effectively halted via tau protein inhibitor therapy
2028,Roberto Calanza,Fusion energy reactor achieves sustained net positive energy output for 72 hours
2029,Sandra Price,New bacterium strain Plastivorus maximus discovered that fully breaks down microplastics
2030,Frank Delano,First complete human brain connectome mapped at nanometer resolution
2031,DJ Thunderclap,Artificial general intelligence system passes all known cognitive benchmarks
2032,Priya Nair,New element Ununpentium-293 synthesized and stable for 48 hours
2033,Clive Ashworth,Mars soil yields first confirmed microbial fossils
2034,Yuki Tanaka,Quantum teleportation of complex molecules achieved over 10km
2035,Big Earl Fontaine,First full pig-to-human heart transplant succeeds with zero rejection
2036,Cynthia Rowe,New deep-sea eel discovered that generates 10000 volts named Electrophorus giganticus maximus
2037,Professor Leon Grey,Mathematical proof of the Riemann Hypothesis finally published
2038,Rosa Mendez,Lab-grown neurons successfully integrated into paralysis patients restoring full movement
2039,Vladislav Petrov,First direct radio signal confirmed from Proxima Centauri b
2040,Jax Hollywood,Fully biodegradable plastic substitute made from seaweed adopted globally
2041,The Great Magnifico,First successful human hibernation for space travel lasting 6 months
2042,Beatrice Holloway,New species of pterosaur-like bird discovered in Papua New Guinea
2043,Maximilian Frost,Nanobot swarm successfully removes all cancer cells from a patient with zero side effects
2044,Captain Reg Stone,Dark matter particle directly observed for the first time
2045,Lola Sinclair,Human lifespan reliably extended to 150 years via telomere therapy
2046,Yusuf Okafor,Photosynthesis artificially replicated at 40% efficiency in solar cells
2047,Empress Diane I,First self-replicating nanobot designed for environmental cleanup deployed
2048,DJ Nexus Prime,Quantum internet goes live connecting 50 countries with unhackable communication
2049,Hector Villareal,New species of giant freshwater shark discovered in Congo River basin
2050,Old Man Jenkins,Consciousness successfully uploaded to digital medium for 5 minutes before catastrophic crash
2051,Zara X,Scientists confirm that parallel universes exist but are incredibly boring
2052,Reginald Bottomsworth III,New bacterium Thermophilus adamantium discovered living inside nuclear reactor cores
2053,Celestine Aurora,First functioning jetpack approved for civilian use weighing only 2kg
2054,Blaze Rocketson,Mathematical proof that P equals NP discovered by a 14-year-old in Ohio
2055,Mother Superior 9000,First human born with lab-engineered gills survives to adulthood
2056,Professor Zing,New compound Zorinium-7 discovered that is stronger than graphene and cheaper than plastic
2057,Asteroid Gary,First permanent human colony established on Mars reaches 500 residents
2058,Commander Starbright,Complete cure for all known cancers developed using personalized bacteriophage cocktails
2059,The Legendary Buck,New species of six-legged mammal discovered on previously uncharted Pacific island
2060,Vivienne Stormcloud,Time dilation experiment successfully slows local time by 0.003 seconds using exotic matter
2061,Baron Von Sparkles,First artificial black hole created in laboratory the size of a grapefruit
2062,Turbo McFast,Gravity manipulation achieved allowing 1kg objects to float indefinitely
2063,Glorious Pam,New species of intelligent octopus discovered capable of solving college-level math problems
2064,Hyper Jenkins,First nuclear fusion-powered commercial airplane takes flight
2065,Duke Fabulous,Mathematical proof that the universe is a simulation published then immediately retracted
2066,Neon Butterfly,Complete map of dark energy distribution across observable universe completed
2067,Spectacular Rodrigo,First woolly mammoth successfully cloned from 10000-year-old DNA and named Gerald
2068,The Honorable Chunk,New bacterium discovered that eats carbon dioxide and excretes pure oxygen 40x faster than trees
2069,Ultrababe 3000,First human teleportation of 1 gram of biological material over 1 meter achieved
2070,Mr. Flibble,Scientists discover that dolphins have been communicating poetry to each other for centuries
2071,Zanzibar Moon,Complete cure for Type 1 and Type 2 diabetes via pancreatic stem cell regeneration
2072,Professor Wiggins,New species of carnivorous plant discovered in Borneo that can digest small mammals
2073,Laser Susan,First exoplanet terraforming mission launched targeting Kepler-452b
2074,Brenda Starfire,Quantum gravity theory finally unified with standard model ending a century of debate
2075,Thunderous Clap Williams,New chemical element Bureaucratium discovered that resists all attempts to do anything useful
2076,Disco Inferno Jones,First brain-computer interface allows direct internet access via thought
2077,Grand Vizier Potato,New species of extremophile bacteria discovered thriving in liquid methane on Titan
2078,Whoopsie Daisy,Scientists accidentally cure the common cold while trying to make better cheese
2079,Seraphina Goldblast,Functional teleportation booth allows human teleportation across a room
2080,Reverend Thunder,First fully autonomous city built and managed entirely by AI on the Moon
2081,Cosmic Brendan,New species of silicon-based microorganism discovered in volcanic rock on Io
2082,The Magnificent Gorb,Mathematical proof that infinity has a maximum value collapses most of pure mathematics
2083,Ultraviolet Pat,Lab-grown human brain reaches consciousness briefly before researchers panic and unplug it
2084,Space Cowboy Jenkins,First faster-than-light communication achieved via quantum entanglement relay
2085,Hyperdrive Hannah,New bacterium Omnivorus totalus discovered that eats literally everything including thoughts
2086,Princess Lazerbeam,Complete reversal of aging process achieved in mice then immediately in humans
